,휘핏_1,휘핏_2,휘핏_3,휘핏_4,휘핏_5,휘핏_6,휘핏_7,휘핏_8,휘핏_9,휘핏_10,휘핏_11,휘핏_12,휘핏_13,휘핏_14,휘핏_15,휘핏_16,휘핏_17,휘핏_18,휘핏_19,휘핏_20
Human,0.0,0.0,70.57135772705078,0.0,0.0,0.0,91.24248504638672,0.0,0.0,94.8055419921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.73291778564453
Wildlife,0.0,0.0,0.0,65.09185028076172,0.0,65.1844482421875,58.060874938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,83.7022933959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,66.1410140991211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,55.82835388183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,91.28852081298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,89.97833251953125,0.0,72.07295989990234,0.0,0.0,91.30364227294922,99.634521484375,73.08770751953125,97.30266571044922,62.98634719848633,78.69353485107422,59.445335388183594,91.52446746826172,90.61051940917969,0.0
Antelope,0.0,0.0,0.0,0.0,0.0,65.1844482421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,62.103553771972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dessert,0.0,0.0,0.0,0.0,0.0,0.0,57.77958679199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cake,0.0,0.0,0.0,0.0,0.0,0.0,57.77958679199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food,0.0,0.0,0.0,0.0,0.0,0.0,57.77958679199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cream,0.0,0.0,0.0,0.0,0.0,0.0,57.77958679199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Creme,0.0,0.0,0.0,0.0,0.0,0.0,57.77958679199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Icing,0.0,0.0,0.0,0.0,0.0,0.0,57.77958679199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.8175277709961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.8175277709961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.238895416259766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.6357421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
