,피레니언 셰퍼드_1,피레니언 셰퍼드_2,피레니언 셰퍼드_3,피레니언 셰퍼드_4,피레니언 셰퍼드_5,피레니언 셰퍼드_6,피레니언 셰퍼드_7,피레니언 셰퍼드_8,피레니언 셰퍼드_9,피레니언 셰퍼드_10,피레니언 셰퍼드_11,피레니언 셰퍼드_12,피레니언 셰퍼드_13,피레니언 셰퍼드_14,피레니언 셰퍼드_15,피레니언 셰퍼드_16,피레니언 셰퍼드_17,피레니언 셰퍼드_18,피레니언 셰퍼드_19,피레니언 셰퍼드_20
Armored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.42538070678711,0.0,0.0
Army,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.42538070678711,0.0,0.0
Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.92402267456055,0.0,0.0
Vehicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.600337982177734,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9970703125,0.0,0.0
Soldier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.7239875793457,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1549072265625,0.0
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.72110748291016,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.10280227661133,0.0
Mouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.000064849853516,0.0
Teeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.000064849853516,0.0
Lip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.000064849853516,0.0
