,홋카이도 이누_1,홋카이도 이누_2,홋카이도 이누_3,홋카이도 이누_4,홋카이도 이누_5,홋카이도 이누_6,홋카이도 이누_7,홋카이도 이누_8,홋카이도 이누_9,홋카이도 이누_10,홋카이도 이누_11,홋카이도 이누_12,홋카이도 이누_13,홋카이도 이누_14,홋카이도 이누_15,홋카이도 이누_16,홋카이도 이누_17,홋카이도 이누_18,홋카이도 이누_19,홋카이도 이누_20
Grass,0.0,0.0,0.0,0.0,0.0,0.0,76.48531341552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,76.48531341552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.19087982177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.99974060058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.99974060058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Car Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.39463806152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.31131744384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alloy Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.16586303710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.19217300415039,0.0,0.0,57.132816314697266,0.0,0.0,0.0,58.296661376953125,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.1124496459961,0.0,0.0,96.41270446777344,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.1124496459961,0.0,0.0,96.41270446777344,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.84724426269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
