,차이니즈 샤페이_1,차이니즈 샤페이_2,차이니즈 샤페이_3,차이니즈 샤페이_4,차이니즈 샤페이_5,차이니즈 샤페이_6,차이니즈 샤페이_7,차이니즈 샤페이_8,차이니즈 샤페이_9,차이니즈 샤페이_10,차이니즈 샤페이_11,차이니즈 샤페이_12,차이니즈 샤페이_13,차이니즈 샤페이_14,차이니즈 샤페이_15,차이니즈 샤페이_16,차이니즈 샤페이_17,차이니즈 샤페이_18,차이니즈 샤페이_19,차이니즈 샤페이_20
Bulldog,0.0,0.0,96.62919616699219,99.5301742553711,88.92611694335938,92.47511291503906,70.13824462890625,0.0,0.0,80.74356842041016,93.24791717529297,93.91740417480469,0.0,89.8144302368164,92.3790054321289,89.86082458496094,86.22107696533203,94.59921264648438,90.6406021118164,79.30155181884766
French Bulldog,0.0,0.0,93.94248962402344,99.5301742553711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.64173889160156,0.0,0.0
Boston Bull,0.0,0.0,88.59104919433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,85.61450958251953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,92.9298095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pitbull,0.0,0.0,0.0,0.0,67.33416748046875,92.47511291503906,0.0,0.0,0.0,73.19395446777344,92.60057067871094,85.06048583984375,0.0,89.6527099609375,63.703033447265625,76.33380889892578,0.0,63.513179779052734,59.00349807739258,0.0
Snout,0.0,0.0,0.0,0.0,0.0,56.08091735839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,76.32062530517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiger,0.0,0.0,0.0,0.0,0.0,0.0,76.32062530517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sleeping,0.0,0.0,0.0,0.0,0.0,0.0,61.079044342041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asleep,0.0,0.0,0.0,0.0,0.0,0.0,61.079044342041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,56.19059371948242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.721534729003906
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,56.19059371948242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.721534729003906
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.11669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.11669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.33888244628906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.47688293457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.82394027709961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bunny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.82394027709961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rabbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.82394027709961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.813926696777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.813926696777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.64598083496094,79.72177124023438,0.0,0.0,0.0,0.0,0.0,0.0,58.72850799560547,56.24476623535156
Chow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.58226013183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.72671890258789,0.0,0.0,0.0,0.0,0.0,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.83814239501953,0.0,0.0,56.88981628417969,0.0,0.0
