,골든 리트리버_1,골든 리트리버_2,골든 리트리버_3,골든 리트리버_4,골든 리트리버_5,골든 리트리버_6,골든 리트리버_7,골든 리트리버_8,골든 리트리버_9,골든 리트리버_10,골든 리트리버_11,골든 리트리버_12,골든 리트리버_13,골든 리트리버_14,골든 리트리버_15,골든 리트리버_16,골든 리트리버_17,골든 리트리버_18,골든 리트리버_19,골든 리트리버_20
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.40784454345703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.67118072509766,0.0,0.0,99.25362396240234
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.40784454345703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.67118072509766,0.0,0.0,99.25362396240234
Finger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.65238952636719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.72962951660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vulture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.72962951660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poultry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.39620971679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.39620971679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.39620971679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Condor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.22373962402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.63050842285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kite Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.09674072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6545524597168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
