,바셋 하운드_1,바셋 하운드_2,바셋 하운드_3,바셋 하운드_4,바셋 하운드_5,바셋 하운드_6,바셋 하운드_7,바셋 하운드_8,바셋 하운드_9,바셋 하운드_10,바셋 하운드_11,바셋 하운드_12,바셋 하운드_13,바셋 하운드_14,바셋 하운드_15,바셋 하운드_16,바셋 하운드_17,바셋 하운드_18,바셋 하운드_19,바셋 하운드_20
Hound,0.0,99.79681396484375,0.0,98.05109405517578,99.59719848632812,97.36038208007812,93.54383850097656,95.54071807861328,86.9446029663086,99.85714721679688,97.78771209716797,90.37617492675781,98.96568298339844,99.5555648803711,98.53121948242188,99.62672424316406,99.98926544189453,98.89694213867188,92.86697387695312,96.44917297363281
Beagle,0.0,85.61351776123047,0.0,94.65027618408203,96.76209259033203,91.58271789550781,73.4339828491211,0.0,69.71168518066406,99.31058502197266,86.76333618164062,68.33378601074219,93.94841003417969,97.41150665283203,96.09978485107422,96.99391174316406,0.0,90.64249420166016,78.61164855957031,88.08779907226562
Bulldog,0.0,0.0,66.5659408569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,58.23635482788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,55.39999771118164,0.0,68.69591522216797,58.95669174194336,56.53519058227539,67.6072769165039,0.0,0.0,0.0,0.0,62.0536994934082,0.0,0.0,0.0,0.0,0.0,0.0,57.596153259277344
Photography,0.0,0.0,0.0,62.11699295043945,0.0,0.0,61.55040740966797,0.0,0.0,0.0,55.97758102416992,58.48772430419922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,62.11699295043945,0.0,0.0,61.55040740966797,0.0,0.0,0.0,55.97758102416992,58.48772430419922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,61.186370849609375,56.75400924682617,55.23284912109375,88.37720489501953,0.0,0.0,0.0,78.68513488769531,0.0,59.20673370361328,0.0,81.60631561279297,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.11417388916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.11417388916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.08782958984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.08782958984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.97358703613281,0.0,0.0,0.0,0.0,70.57135772705078,0.0,85.93645477294922,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.97358703613281,0.0,0.0,0.0,0.0,70.57135772705078,0.0,85.93645477294922,0.0
Sweatshirt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.34778594970703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.34778594970703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hoodie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.34778594970703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.16328430175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.9595718383789,0.0,0.0,0.0,0.0,0.0,0.0,78.12001037597656,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.54999542236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.410343170166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.410343170166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.72754669189453,0.0,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.11619186401367,0.0,0.0
Bush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.584228515625
Rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.65802764892578
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.27808380126953
