,코몬도르_1,코몬도르_2,코몬도르_3,코몬도르_4,코몬도르_5,코몬도르_6,코몬도르_7,코몬도르_8,코몬도르_9,코몬도르_10,코몬도르_11,코몬도르_12,코몬도르_13,코몬도르_14,코몬도르_15,코몬도르_16,코몬도르_17,코몬도르_18,코몬도르_19,코몬도르_20
Terrier,0.0,0.0,0.0,57.73945999145508,65.86739349365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,57.4332389831543,97.25057983398438,55.95017623901367,0.0,0.0,98.24114990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.37376403808594,0.0
Grass,0.0,0.0,0.0,57.4332389831543,97.25057983398438,0.0,0.0,0.0,98.24114990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.37376403808594,0.0
Poodle,0.0,0.0,0.0,0.0,69.82457733154297,0.0,0.0,0.0,0.0,0.0,91.85537719726562,76.4339370727539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.31380462646484
Lawn,0.0,0.0,0.0,0.0,57.650840759277344,0.0,0.0,0.0,55.515384674072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep,0.0,0.0,0.0,0.0,57.331783294677734,0.0,0.0,99.81149291992188,98.22413635253906,0.0,0.0,66.88795471191406,0.0,0.0,0.0,0.0,0.0,0.0,98.30623626708984,0.0
Hound,0.0,0.0,0.0,0.0,57.05265808105469,0.0,0.0,0.0,0.0,85.82380676269531,0.0,0.0,0.0,99.98926544189453,80.1344985961914,96.61756896972656,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,96.52851867675781,0.0,0.0,0.0,91.84672546386719,0.0,0.0,0.0,70.57135772705078,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,96.52851867675781,0.0,0.0,0.0,91.84672546386719,0.0,0.0,0.0,70.57135772705078,0.0,0.0,0.0,0.0,0.0,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,95.72212982177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,73.99127960205078,0.0,99.02437591552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,73.99127960205078,0.0,99.02437591552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yarn,0.0,0.0,0.0,0.0,0.0,73.91007232666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linen,0.0,0.0,0.0,0.0,0.0,69.53904724121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knitting,0.0,0.0,0.0,0.0,0.0,65.8880844116211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,64.41996765136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wool,0.0,0.0,0.0,0.0,0.0,61.9565544128418,0.0,71.55248260498047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
