,달마시안_1,달마시안_2,달마시안_3,달마시안_4,달마시안_5,달마시안_6,달마시안_7,달마시안_8,달마시안_9,달마시안_10,달마시안_11,달마시안_12,달마시안_13,달마시안_14,달마시안_15,달마시안_16,달마시안_17,달마시안_18,달마시안_19,달마시안_20
Dalmatian,0.0,71.37223815917969,0.0,93.4243392944336,66.83763885498047,93.71833038330078,96.60088348388672,94.54076385498047,83.73487091064453,67.2610855102539,91.7088394165039,75.4844741821289,75.6551513671875,82.36245727539062,79.52330017089844,0.0,82.69084930419922,94.99818420410156,91.40560913085938,92.05321502685547
Drawing,0.0,66.21583557128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.91295623779297,0.0,0.0,0.0,0.0
Art,0.0,66.21583557128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.96144104003906,0.0,0.0,0.0,0.0
Winter,0.0,62.61980056762695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.45513153076172,0.0
Snowman,0.0,62.61980056762695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.45513153076172,0.0
Snow,0.0,62.61980056762695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.45513153076172,0.0
Beagle,0.0,0.0,92.60521697998047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,66.14307403564453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zebra,0.0,0.0,0.0,0.0,0.0,61.805965423583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,61.805965423583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,71.78202819824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,71.78202819824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,0.0,0.0,0.0,0.0,0.0,0.0,71.78202819824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,71.78202819824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,71.78202819824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,71.78202819824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,0.0,0.0,0.0,0.0,0.0,0.0,71.78202819824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,0.0,0.0,0.0,0.0,0.0,71.78202819824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.51112365722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.06829833984375,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.06829833984375,0.0,0.0,0.0,0.0
Hair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.61753845214844,0.0,0.0,0.0,0.0
Appliance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.17300415039062,0.0,0.0
Hair Drier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.17300415039062,0.0,0.0
Blow Dryer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.17300415039062,0.0,0.0
Dryer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.17300415039062,0.0,0.0
