,코통 드 튈레아르_1,코통 드 튈레아르_2,코통 드 튈레아르_3,코통 드 튈레아르_4,코통 드 튈레아르_5,코통 드 튈레아르_6,코통 드 튈레아르_7,코통 드 튈레아르_8,코통 드 튈레아르_9,코통 드 튈레아르_10,코통 드 튈레아르_11,코통 드 튈레아르_12,코통 드 튈레아르_13,코통 드 튈레아르_14,코통 드 튈레아르_15,코통 드 튈레아르_16,코통 드 튈레아르_17,코통 드 튈레아르_18,코통 드 튈레아르_19,코통 드 튈레아르_20
Human,0.0,0.0,79.07028198242188,99.37373352050781,0.0,0.0,98.99668884277344,0.0,71.99606323242188,66.25188446044922,90.21249389648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,0.0,79.07028198242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,79.07028198242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,0.0,79.07028198242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,0.0,0.0,79.07028198242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,79.07028198242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8327407836914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,0.0,79.07028198242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,79.07028198242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,63.1864128112793,0.0,0.0,0.0,0.0,55.15629959106445,0.0,0.0,0.0,0.0,0.0,73.06739044189453,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,63.1864128112793,0.0,0.0,0.0,0.0,55.15629959106445,0.0,0.0,0.0,0.0,0.0,73.06739044189453,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,62.85389709472656,0.0,63.57036590576172,0.0,0.0,58.954341888427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.226890563964844,64.14490509033203,55.644107818603516,60.295806884765625,70.82402801513672
Accessories,0.0,0.0,0.0,99.11357879638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,99.11357879638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glasses,0.0,0.0,0.0,99.11357879638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,88.92095184326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
