,피레니안 마스티프_1,피레니안 마스티프_2,피레니안 마스티프_3,피레니안 마스티프_4,피레니안 마스티프_5,피레니안 마스티프_6,피레니안 마스티프_7,피레니안 마스티프_8,피레니안 마스티프_9,피레니안 마스티프_10,피레니안 마스티프_11,피레니안 마스티프_12,피레니안 마스티프_13,피레니안 마스티프_14,피레니안 마스티프_15,피레니안 마스티프_16,피레니안 마스티프_17,피레니안 마스티프_18,피레니안 마스티프_19,피레니안 마스티프_20
Person,0.0,0.0,0.0,0.0,0.0,0.0,98.42273712158203,99.05386352539062,99.45416259765625,99.66033935546875,97.3166732788086,0.0,99.54222106933594,98.87405395507812,99.88640594482422,0.0,0.0,92.42768096923828,0.0,99.5399398803711
Human,0.0,0.0,0.0,0.0,0.0,0.0,98.42273712158203,99.05386352539062,99.45416259765625,99.66033935546875,97.3166732788086,0.0,99.54222106933594,98.87405395507812,99.88640594482422,0.0,0.0,92.42768096923828,0.0,99.5399398803711
Barefoot,0.0,0.0,0.0,0.0,0.0,0.0,83.50787353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin,0.0,0.0,0.0,0.0,0.0,0.0,82.55236053466797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tattoo,0.0,0.0,0.0,0.0,0.0,0.0,79.08940124511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,55.227752685546875,0.0,0.0,0.0,56.003971099853516,0.0,0.0,64.0306167602539,0.0,0.0,0.0,0.0,0.0,60.584869384765625
Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.92659759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.71334838867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterfowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.16071701049805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.596893310546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.57451248168945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cattle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.03462219238281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.97062683105469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99431228637695,0.0,57.027042388916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99431228637695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
