,캉갈_1,캉갈_2,캉갈_3,캉갈_4,캉갈_5,캉갈_6,캉갈_7,캉갈_8,캉갈_9,캉갈_10,캉갈_11,캉갈_12,캉갈_13,캉갈_14,캉갈_15,캉갈_16,캉갈_17,캉갈_18,캉갈_19,캉갈_20
Dog,0.0,87.7242202758789,85.83284759521484,0.0,62.39303207397461,88.0308609008789,92.45278930664062,80.21758270263672,94.86162567138672,96.10059356689453,96.86578369140625,0.0,83.97241973876953,0.0,90.46887969970703,93.79756164550781,62.8665771484375,0.0,0.0,76.74622344970703
Bulldog,0.0,77.83206176757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,77.83206176757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,74.04503631591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,67.07505798339844,64.131591796875,0.0,0.0,0.0,0.0,0.0,0.0,84.40945434570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,60.02804183959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,85.83284759521484,0.0,0.0,88.0308609008789,68.22509002685547,60.769126892089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.19413757324219
Hunting,0.0,0.0,56.66539001464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.17601776123047,59.85282897949219
Bird,0.0,0.0,56.12467956542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.997684478759766,90.92675018310547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay,0.0,0.0,56.12467956542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,92.33155059814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2399673461914,0.0,0.0,0.0,0.0,0.0,0.0
Colt Horse,0.0,0.0,0.0,56.71761703491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zoo,0.0,0.0,0.0,0.0,99.97650909423828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,74.04224395751953,0.0,0.0,59.36894989013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,62.25169372558594,0.0,0.0,67.38593292236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.136024475097656
Golden Retriever,0.0,0.0,0.0,0.0,0.0,84.67594146728516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.74622344970703
Police Dog,0.0,0.0,0.0,0.0,0.0,68.09403228759766,78.10203552246094,60.48899841308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.06349182128906
German Shepherd,0.0,0.0,0.0,0.0,0.0,65.32653045654297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,56.37601852416992,0.0,0.0,82.114013671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.76696014404297,0.0,0.0,0.0
