,아메리칸 아키다_1,아메리칸 아키다_2,아메리칸 아키다_3,아메리칸 아키다_4,아메리칸 아키다_5,아메리칸 아키다_6,아메리칸 아키다_7,아메리칸 아키다_8,아메리칸 아키다_9,아메리칸 아키다_10,아메리칸 아키다_11,아메리칸 아키다_12,아메리칸 아키다_13,아메리칸 아키다_14,아메리칸 아키다_15,아메리칸 아키다_16,아메리칸 아키다_17,아메리칸 아키다_18,아메리칸 아키다_19,아메리칸 아키다_20
German Shepherd,0.0,0.0,0.0,80.69512176513672,0.0,0.0,98.41332244873047,0.0,0.0,99.32701110839844,0.0,94.65084075927734,0.0,0.0,82.96817779541016,0.0,57.50527572631836,0.0,80.78766632080078,0.0
Hound,0.0,0.0,0.0,66.10099792480469,0.0,0.0,0.0,83.85185241699219,0.0,0.0,0.0,0.0,63.36630630493164,0.0,0.0,0.0,56.01223373413086,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,58.034950256347656,0.0,55.50259017944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.72753143310547,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,0.0,0.0,0.0,56.03170394897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.19061279296875,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.39120483398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.038814544677734,0.0,92.23079681396484,0.0,57.80318069458008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.038814544677734,0.0,90.0591812133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.23079681396484,0.0,57.80318069458008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.51486206054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.83329772949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.22871398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75948333740234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75948333740234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75948333740234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
