,불개_1,불개_2,불개_3,불개_4,불개_5,불개_6,불개_7,불개_8,불개_9,불개_10,불개_11,불개_12,불개_13,불개_14,불개_15,불개_16,불개_17,불개_18,불개_19,불개_20
Clothing,0.0,0.0,0.0,0.0,0.0,73.37789916992188,69.12594604492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,0.0,0.0,66.95639038085938,0.0,0.0,0.0,0.0,0.0,0.0,71.12042236328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,58.19430923461914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.71766662597656,0.0,0.0,0.0,0.0,73.46871948242188,57.36896896362305
Hair,0.0,0.0,0.0,0.0,0.0,0.0,99.75801086425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costume,0.0,0.0,0.0,0.0,0.0,0.0,78.28246307373047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,69.12594604492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Back,0.0,0.0,0.0,0.0,0.0,0.0,59.02000427246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ponytail,0.0,0.0,0.0,0.0,0.0,0.0,56.107933044433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silhouette,0.0,0.0,0.0,0.0,0.0,0.0,55.594417572021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.30564880371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.80907440185547
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.48013305664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.55845642089844
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.32128143310547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.156105041503906,0.0,0.0
Car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.94933319091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automobile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.94933319091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.94933319091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.94933319091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
