,치와와_1,치와와_2,치와와_3,치와와_4,치와와_5,치와와_6,치와와_7,치와와_8,치와와_9,치와와_10,치와와_11,치와와_12,치와와_13,치와와_14,치와와_15,치와와_16,치와와_17,치와와_18,치와와_19,치와와_20
Beagle,0.0,0.0,0.0,60.22327423095703,0.0,0.0,91.63922882080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweets,0.0,0.0,0.0,60.185787200927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food,0.0,0.0,0.0,60.185787200927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confectionery,0.0,0.0,0.0,60.185787200927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,60.376285552978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,60.376285552978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,60.33425521850586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,60.33425521850586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,60.33425521850586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,80.59969329833984,0.0,70.75885009765625,66.45442199707031,59.054100036621094,94.06492614746094,0.0,0.0,0.0,95.68086242675781,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,80.59969329833984,0.0,70.75885009765625,66.45442199707031,59.054100036621094,94.06492614746094,0.0,0.0,0.0,95.68086242675781,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9308090209961,0.0,0.0,0.0,0.0,95.00463104248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9308090209961,0.0,0.0,0.0,0.0,95.00463104248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papillon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.41693115234375,0.0,0.0,0.0,0.0,95.00463104248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
