,플랫코티드 레트리버_1,플랫코티드 레트리버_2,플랫코티드 레트리버_3,플랫코티드 레트리버_4,플랫코티드 레트리버_5,플랫코티드 레트리버_6,플랫코티드 레트리버_7,플랫코티드 레트리버_8,플랫코티드 레트리버_9,플랫코티드 레트리버_10,플랫코티드 레트리버_11,플랫코티드 레트리버_12,플랫코티드 레트리버_13,플랫코티드 레트리버_14,플랫코티드 레트리버_15,플랫코티드 레트리버_16,플랫코티드 레트리버_17,플랫코티드 레트리버_18,플랫코티드 레트리버_19,플랫코티드 레트리버_20
Labrador Retriever,0.0,84.54144287109375,99.03945922851562,69.65766906738281,91.60002136230469,0.0,77.21297454833984,0.0,78.51560974121094,59.01616287231445,95.98521423339844,88.57515716552734,89.54835510253906,56.26081085205078,0.0,98.14522552490234,94.92998504638672,0.0,90.67040252685547,0.0
Hound,0.0,65.32939147949219,0.0,0.0,0.0,0.0,0.0,0.0,59.555946350097656,88.56780242919922,82.25086975097656,0.0,59.990142822265625,0.0,81.30101776123047,0.0,0.0,0.0,0.0,84.73973083496094
Human,0.0,0.0,82.60977935791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.41800689697266,87.12125396728516,82.95702362060547,0.0
Person,0.0,0.0,82.60977935791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.41800689697266,87.12125396728516,82.95702362060547,0.0
Mouth,0.0,0.0,0.0,0.0,58.159156799316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,0.0,0.0,58.159156799316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teeth,0.0,0.0,0.0,0.0,58.159156799316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,74.33992767333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Cat,0.0,0.0,0.0,0.0,0.0,55.563255310058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,56.11349105834961,60.64934539794922,59.99949264526367,0.0,0.0,0.0,58.59201431274414,0.0,56.69377136230469,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.58049774169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.10523223876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.384944915771484,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.10523223876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.384944915771484,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0768814086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.502628326416016,62.03705596923828,0.0,0.0,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.441341400146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.12312316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Car Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.05257034301758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.9759521484375,0.0,0.0,76.4194107055664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.86493682861328
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.9759521484375,0.0,0.0,76.4194107055664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.86493682861328
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.27532196044922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.72575378417969,99.64164733886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.09564971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6183853149414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.53288269042969,0.0,0.0,0.0,0.0,0.0
Axe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.91681671142578,0.0,0.0,0.0
Tool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.91681671142578,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.70317077636719,0.0,0.0
