,보스턴 테리어_1,보스턴 테리어_2,보스턴 테리어_3,보스턴 테리어_4,보스턴 테리어_5,보스턴 테리어_6,보스턴 테리어_7,보스턴 테리어_8,보스턴 테리어_9,보스턴 테리어_10,보스턴 테리어_11,보스턴 테리어_12,보스턴 테리어_13,보스턴 테리어_14,보스턴 테리어_15,보스턴 테리어_16,보스턴 테리어_17,보스턴 테리어_18,보스턴 테리어_19,보스턴 테리어_20
Strap,0.0,0.0,0.0,0.0,66.19091796875,0.0,0.0,0.0,0.0,0.0,68.24895477294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,56.425350189208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Figurine,0.0,0.0,0.0,0.0,0.0,58.95912551879883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.07767486572266,0.0,0.0,0.0,0.0,0.0,0.0,90.35848236083984,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.07767486572266,0.0,0.0,0.0,0.0,0.0,0.0,90.35848236083984,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.31968688964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.891273498535156,0.0
Appenzeller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.002906799316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Creme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0310287475586,0.0,0.0,0.0,0.0,0.0
Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0310287475586,0.0,0.0,0.0,0.0,0.0
Dessert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0310287475586,0.0,0.0,0.0,0.0,0.0
Cream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0310287475586,0.0,0.0,0.0,0.0,0.0
Eating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.35879516601562,0.0,0.0,0.0,0.0,0.0
Teeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.99313354492188,0.0,0.0,0.0,0.0,0.0
Tongue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.679256439208984,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.11225128173828,0.0,0.0,0.0,0.0
Label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.11225128173828,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.28840637207031,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.28840637207031,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.46267700195312,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.1681137084961,0.0,0.0,0.0
Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.25489807128906,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.59220886230469,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45384216308594,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45384216308594,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45384216308594,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.57810592651367,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.57810592651367,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.35355758666992,0.0
