,패터데일 테리어_1,패터데일 테리어_2,패터데일 테리어_3,패터데일 테리어_4,패터데일 테리어_5,패터데일 테리어_6,패터데일 테리어_7,패터데일 테리어_8,패터데일 테리어_9,패터데일 테리어_10,패터데일 테리어_11,패터데일 테리어_12,패터데일 테리어_13,패터데일 테리어_14,패터데일 테리어_15,패터데일 테리어_16,패터데일 테리어_17,패터데일 테리어_18,패터데일 테리어_19,패터데일 테리어_20
Boxer,0.0,69.69696044921875,60.2098503112793,65.89634704589844,0.0,0.0,63.59578323364258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,94.36527252197266,77.44532012939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.775630950927734,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,59.93067932128906,71.95742797851562,94.3485336303711,0.0,88.56742858886719,0.0,0.0,86.79173278808594,0.0,59.205875396728516,57.756874084472656,92.18392181396484,64.75918579101562,99.06764221191406,59.42359924316406,0.0,98.35262298583984,58.07184982299805
Hound,0.0,0.0,56.11180114746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.46853637695312,0.0,78.26946258544922,0.0
Pitbull,0.0,0.0,0.0,57.16694259643555,0.0,0.0,0.0,0.0,0.0,0.0,97.34343719482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,56.134334564208984,0.0,0.0,0.0,0.0,0.0,0.0,93.50100708007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,91.35393524169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,81.49266052246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,65.253173828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.66019439697266,0.0
Plant,0.0,0.0,0.0,0.0,0.0,65.253173828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.66019439697266,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,69.22978973388672,90.34255981445312,0.0,0.0,99.53511810302734,0.0,98.61997985839844,81.33773803710938,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8719253540039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airedale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.70698547363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.49423599243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.54413986206055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.39304733276367,57.54356384277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.01857376098633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.04998779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.14810180664062,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.01883697509766,0.0,97.89276123046875,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.86178588867188,0.0,66.68920135498047,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.86178588867188,0.0,66.68920135498047,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.762115478515625,0.0,60.45356750488281,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3711166381836,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.15616607666016,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.4478530883789,0.0,0.0
