,도고 까나리오_1,도고 까나리오_2,도고 까나리오_3,도고 까나리오_4,도고 까나리오_5,도고 까나리오_6,도고 까나리오_7,도고 까나리오_8,도고 까나리오_9,도고 까나리오_10,도고 까나리오_11,도고 까나리오_12,도고 까나리오_13,도고 까나리오_14,도고 까나리오_15,도고 까나리오_16,도고 까나리오_17,도고 까나리오_18,도고 까나리오_19,도고 까나리오_20
Wheel,0.0,0.0,0.0,67.18943786621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2963752746582,0.0
Harness,0.0,0.0,0.0,66.92378234863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halter,0.0,0.0,0.0,59.02235794067383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gear,0.0,0.0,0.0,59.02235794067383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,92.66555786132812,0.0,88.93231201171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.43958282470703,0.0,0.0
Flower,0.0,0.0,0.0,0.0,82.90946197509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blossom,0.0,0.0,0.0,0.0,82.90946197509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,72.38130950927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.86077880859375,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,69.10482025146484,0.0,62.410980224609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petal,0.0,0.0,0.0,0.0,68.77103424072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,67.9590072631836,0.0,67.64684295654297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,64.91535186767578,0.0,88.93231201171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daisy,0.0,0.0,0.0,0.0,63.689117431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daisies,0.0,0.0,0.0,0.0,63.689117431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,59.66939926147461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asteraceae,0.0,0.0,0.0,0.0,57.145103454589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,58.54704666137695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.35666275024414,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,58.54704666137695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.35666275024414,0.0
Tire,0.0,0.0,0.0,0.0,0.0,55.00205612182617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.78992462158203,0.0
Bush,0.0,0.0,0.0,0.0,0.0,0.0,71.3866195678711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,66.09776306152344,0.0,0.0,67.673583984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soil,0.0,0.0,0.0,0.0,0.0,0.0,59.479461669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zoo,0.0,0.0,0.0,0.0,0.0,0.0,57.7369270324707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.71363067626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.71363067626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.58850860595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.082679748535156,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.58850860595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8389892578125,0.0
