,저먼 핀셔_1,저먼 핀셔_2,저먼 핀셔_3,저먼 핀셔_4,저먼 핀셔_5,저먼 핀셔_6,저먼 핀셔_7,저먼 핀셔_8,저먼 핀셔_9,저먼 핀셔_10,저먼 핀셔_11,저먼 핀셔_12,저먼 핀셔_13,저먼 핀셔_14,저먼 핀셔_15,저먼 핀셔_16,저먼 핀셔_17,저먼 핀셔_18,저먼 핀셔_19,저먼 핀셔_20
Plant,0.0,93.36061096191406,0.0,74.72306823730469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.02849578857422,0.0,64.589599609375,0.0,0.0
Hound,0.0,81.24725341796875,72.42115020751953,0.0,0.0,0.0,69.25181579589844,79.05879974365234,0.0,84.13102722167969,0.0,73.3759536743164,69.24286651611328,0.0,75.42681121826172,70.34785461425781,0.0,81.21346282958984,65.78245544433594,73.20037078857422
Lawn Mower,0.0,72.50558471679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tool,0.0,72.50558471679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,66.4960708618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,66.4960708618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,66.4960708618164,0.0,58.16347122192383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.30244827270508,0.0,64.05157470703125,0.0,0.0
Appenzeller,0.0,55.31088638305664,0.0,0.0,0.0,0.0,87.8152847290039,0.0,0.0,0.0,0.0,0.0,80.5655746459961,71.3184585571289,72.65773010253906,0.0,0.0,57.57480239868164,76.68851470947266,0.0
Chihuahua,0.0,0.0,97.65467834472656,0.0,99.34857177734375,0.0,0.0,0.0,98.5827407836914,0.0,0.0,57.908485412597656,56.5816764831543,94.03227996826172,87.96031951904297,89.233642578125,75.52576446533203,58.295475006103516,0.0,0.0
Puppy,0.0,0.0,81.97320556640625,0.0,0.0,0.0,0.0,76.2104721069336,69.65201568603516,98.6404037475586,0.0,0.0,0.0,0.0,0.0,56.647056579589844,0.0,65.42940521240234,0.0,0.0
German Shepherd,0.0,0.0,0.0,97.3415298461914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.38297271728516,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,81.04246520996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,67.85430908203125,0.0,0.0,0.0,0.0,0.0,0.0,61.580013275146484,0.0,0.0,0.0,0.0,84.32291412353516,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,67.85430908203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.963741302490234,0.0,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,76.29600524902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,65.89057922363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.02387237548828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.954010009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
