,아메리칸 스태퍼드셔 테리어_1,아메리칸 스태퍼드셔 테리어_2,아메리칸 스태퍼드셔 테리어_3,아메리칸 스태퍼드셔 테리어_4,아메리칸 스태퍼드셔 테리어_5,아메리칸 스태퍼드셔 테리어_6,아메리칸 스태퍼드셔 테리어_7,아메리칸 스태퍼드셔 테리어_8,아메리칸 스태퍼드셔 테리어_9,아메리칸 스태퍼드셔 테리어_10,아메리칸 스태퍼드셔 테리어_11,아메리칸 스태퍼드셔 테리어_12,아메리칸 스태퍼드셔 테리어_13,아메리칸 스태퍼드셔 테리어_14,아메리칸 스태퍼드셔 테리어_15,아메리칸 스태퍼드셔 테리어_16,아메리칸 스태퍼드셔 테리어_17,아메리칸 스태퍼드셔 테리어_18,아메리칸 스태퍼드셔 테리어_19,아메리칸 스태퍼드셔 테리어_20
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1244010925293,59.61465835571289,62.007389068603516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.25029754638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.47935104370117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.20492553710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appliance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.41744232177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5009536743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.94715118408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shorts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.679649353027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.20188903808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.35157012939453,0.0,0.0,0.0,0.0,0.0
Football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.35157012939453,0.0,0.0,0.0,0.0,0.0
Soccer Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.35157012939453,0.0,0.0,0.0,0.0,0.0
