,아메리칸 불리_1,아메리칸 불리_2,아메리칸 불리_3,아메리칸 불리_4,아메리칸 불리_5,아메리칸 불리_6,아메리칸 불리_7,아메리칸 불리_8,아메리칸 불리_9,아메리칸 불리_10,아메리칸 불리_11,아메리칸 불리_12,아메리칸 불리_13,아메리칸 불리_14,아메리칸 불리_15,아메리칸 불리_16,아메리칸 불리_17,아메리칸 불리_18,아메리칸 불리_19,아메리칸 불리_20
Football,0.0,0.0,68.05724334716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,64.45359802246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8785514831543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,56.916011810302734,0.0,59.113624572753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,56.916011810302734,0.0,59.113624572753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pitbull,0.0,0.0,0.0,68.1335220336914,55.317481994628906,0.0,75.3218994140625,98.17648315429688,91.02229309082031,0.0,59.885528564453125,72.98413848876953,66.92440032958984,64.81604766845703,89.95962524414062,78.34201049804688,0.0,63.542724609375,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,65.16455841064453,0.0,0.0,0.0,0.0,0.0,56.67789077758789,0.0,62.36717987060547,0.0,0.0,0.0,0.0,70.49034118652344,0.0
Shoe,0.0,0.0,0.0,0.0,0.0,0.0,95.5068588256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,95.5068588256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,95.5068588256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Footwear,0.0,0.0,0.0,0.0,0.0,0.0,95.5068588256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.46561050415039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.9951400756836,57.150596618652344,94.81703186035156,66.96312713623047,95.30652618408203
Dog House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.79295349121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.79295349121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kennel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.32191467285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.50965118408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.50965118408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.50965118408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.44261932373047,0.0,0.0,55.345802307128906,58.857704162597656,0.0,0.0,0.0,0.0,55.523128509521484
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.47935104370117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63682556152344,0.0,0.0,0.0,67.12234497070312
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0253677368164,0.0,77.69239807128906
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0253677368164,0.0,77.69239807128906
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.96211624145508,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5513916015625,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.896156311035156
