,이비전 하운드_1,이비전 하운드_2,이비전 하운드_3,이비전 하운드_4,이비전 하운드_5,이비전 하운드_6,이비전 하운드_7,이비전 하운드_8,이비전 하운드_9,이비전 하운드_10,이비전 하운드_11,이비전 하운드_12,이비전 하운드_13,이비전 하운드_14,이비전 하운드_15,이비전 하운드_16,이비전 하운드_17,이비전 하운드_18,이비전 하운드_19,이비전 하운드_20
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.284847259521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.17750930786133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.23069381713867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.81046295166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.12838745117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.12838745117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.47471618652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.3160400390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.19462585449219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.19462585449219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1922836303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.66069030761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.70344161987305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.144046783447266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0647964477539,0.0,0.0,0.0,0.0,0.0
Bubble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5253791809082,0.0,0.0,0.0,0.0
Kicking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.35661315917969,0.0,0.0
Stallion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.30412292480469,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.3980712890625,0.0
Boxer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.14954376220703
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.14954376220703
