,삽살개_1,삽살개_2,삽살개_3,삽살개_4,삽살개_5,삽살개_6,삽살개_7,삽살개_8,삽살개_9,삽살개_10,삽살개_11,삽살개_12,삽살개_13,삽살개_15,삽살개_16,삽살개_17,삽살개_18,삽살개_19,삽살개_20
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.75931549072266,0.0,0.0,73.75238800048828,0.0,0.0,0.0,0.0
Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.75931549072266,0.0,0.0,73.75238800048828,0.0,0.0,0.0,0.0
Woman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.75931549072266,0.0,0.0,68.80462646484375,0.0,0.0,0.0,0.0
Kid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.75931549072266,0.0,0.0,84.61748504638672,0.0,0.0,0.0,0.0
Blonde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.75931549072266,0.0,0.0,68.80462646484375,0.0,0.0,0.0,0.0
Child,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.75931549072266,0.0,0.0,84.61748504638672,0.0,0.0,0.0,0.0
Teen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.75931549072266,0.0,0.0,68.80462646484375,0.0,0.0,0.0,0.0
Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.31067657470703,0.0,0.0,74.08635711669922,0.0,0.0,0.0,0.0
Hair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.725521087646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.64202880859375,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.64202880859375,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.015663146972656,0.0,0.0,0.0,0.0,0.0
Beak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.69389343261719,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.60049438476562,0.0,0.0,0.0,0.0
Baby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1493148803711,0.0,0.0,0.0,0.0
