,웰시 코기_1,웰시 코기_2,웰시 코기_3,웰시 코기_4,웰시 코기_5,웰시 코기_6,웰시 코기_7,웰시 코기_8,웰시 코기_9,웰시 코기_10,웰시 코기_11,웰시 코기_12,웰시 코기_13,웰시 코기_14,웰시 코기_15,웰시 코기_16,웰시 코기_17,웰시 코기_18,웰시 코기_19,웰시 코기_20
Vegetation,0.0,87.314453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,78.49907684326172,0.0,0.0,73.7476577758789,83.78337097167969,0.0,0.0,0.0,0.0,0.0,97.97948455810547,0.0,60.61845397949219,59.192413330078125,0.0,65.39067840576172,0.0,0.0,0.0
Nature,0.0,62.389122009277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.47887420654297,0.0,0.0,0.0,0.0,65.39067840576172,0.0,0.0,0.0
Hound,0.0,0.0,97.9986801147461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.330589294433594,69.61328125,0.0,0.0,59.220947265625,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,92.605224609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,96.23902893066406,0.0,0.0,99.69593811035156,0.0,0.0,99.11882781982422,57.07207489013672,0.0,90.65806579589844,80.37892150878906,0.0,0.0,0.0,0.0,68.87385559082031,91.11055755615234
Leash,0.0,0.0,0.0,57.98762893676758,0.0,0.0,84.32534790039062,0.0,0.0,73.48767852783203,0.0,0.0,62.544044494628906,0.0,0.0,0.0,0.0,0.0,0.0,66.78042602539062
Wood,0.0,0.0,0.0,0.0,73.00289916992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bowl,0.0,0.0,0.0,0.0,69.83282470703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slate,0.0,0.0,0.0,0.0,59.686073303222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brick,0.0,0.0,0.0,0.0,59.35988235473633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,58.96562194824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leaf,0.0,0.0,0.0,0.0,57.23092269897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Path,0.0,0.0,0.0,0.0,57.1824836730957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,55.94281768798828,0.0,0.0,0.0,99.65067291259766,0.0,0.0,0.0,0.0,69.79776000976562,0.0,0.0,0.0,0.0,69.39885711669922,0.0
Fence,0.0,0.0,0.0,0.0,55.56458282470703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,93.24577331542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,88.85576629638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,0.0,0.0,86.04261779785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,83.78337097167969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,79.67424774169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,79.67424774169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
