,시코쿠견_1,시코쿠견_2,시코쿠견_3,시코쿠견_4,시코쿠견_5,시코쿠견_6,시코쿠견_7,시코쿠견_8,시코쿠견_9,시코쿠견_10,시코쿠견_11,시코쿠견_12,시코쿠견_13,시코쿠견_14,시코쿠견_15,시코쿠견_16,시코쿠견_17,시코쿠견_18,시코쿠견_19,시코쿠견_20
Wildlife,0.0,85.39244079589844,0.0,0.0,0.0,0.0,0.0,0.0,71.24884796142578,0.0,0.0,0.0,61.08567428588867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,65.43241882324219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ice,0.0,63.55967712402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,87.53020477294922,99.45770263671875,58.47581100463867,92.28858947753906,0.0,92.20317077636719,0.0,99.44906616210938,0.0,58.44563674926758,0.0,99.68831634521484,72.69439697265625,95.36852264404297,99.94681549072266,91.13714599609375,95.4325180053711,0.0
Human,0.0,0.0,86.80242919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.90946197509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.91822052001953,0.0
Person,0.0,0.0,86.80242919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.90946197509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.91822052001953,0.0
Eskimo Dog,0.0,0.0,60.61588668823242,0.0,66.48554992675781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.45372009277344,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,57.9294548034668,0.0,0.0,0.0,0.0,55.47995376586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,69.486572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.45236206054688,87.10580444335938,0.0,0.0,58.42327117919922,0.0,0.0,74.05551147460938,92.93685150146484,0.0,0.0,56.51991271972656,77.34207916259766
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.61019897460938,0.0,0.0,0.0,0.0,0.0,94.6250991821289,0.0,0.0,0.0,0.0,59.822200775146484
Panther,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.24884796142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
