,아이리시 워터 스패니얼_1,아이리시 워터 스패니얼_2,아이리시 워터 스패니얼_3,아이리시 워터 스패니얼_4,아이리시 워터 스패니얼_5,아이리시 워터 스패니얼_6,아이리시 워터 스패니얼_7,아이리시 워터 스패니얼_8,아이리시 워터 스패니얼_9,아이리시 워터 스패니얼_10,아이리시 워터 스패니얼_11,아이리시 워터 스패니얼_12,아이리시 워터 스패니얼_13,아이리시 워터 스패니얼_14,아이리시 워터 스패니얼_15,아이리시 워터 스패니얼_16,아이리시 워터 스패니얼_17,아이리시 워터 스패니얼_18,아이리시 워터 스패니얼_19,아이리시 워터 스패니얼_20
Toy,0.0,56.750633239746094,0.0,62.88481521606445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bear,0.0,0.0,0.0,62.88481521606445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,58.444580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.66958618164062,0.0,0.0,90.91329956054688,90.15046691894531,0.0
Cocker Spaniel,0.0,0.0,0.0,58.444580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.66958618164062,0.0,0.0,90.91329956054688,90.15046691894531,0.0
Airedale,0.0,0.0,0.0,0.0,61.79572677612305,59.09266662597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,0.0,0.0,0.0,58.864158630371094,0.0,0.0,0.0,0.0,0.0,0.0,91.59368896484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,57.713199615478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,97.57929229736328,95.04231262207031,0.0,0.0,0.0,68.85523223876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,97.57929229736328,95.04231262207031,0.0,0.0,0.0,68.85523223876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweater,0.0,0.0,0.0,0.0,0.0,0.0,59.257625579833984,88.05879211425781,0.0,0.0,94.64823150634766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,59.257625579833984,88.05879211425781,0.0,0.0,94.64823150634766,0.0,0.0,0.0,0.0,66.32234954833984,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,59.257625579833984,88.05879211425781,0.0,0.0,94.64823150634766,0.0,0.0,0.0,0.0,66.32234954833984,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.98529815673828,0.0,0.0,0.0,92.8097915649414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.98529815673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
