,그레이트 데인_1,그레이트 데인_2,그레이트 데인_3,그레이트 데인_4,그레이트 데인_5,그레이트 데인_6,그레이트 데인_7,그레이트 데인_8,그레이트 데인_9,그레이트 데인_10,그레이트 데인_11,그레이트 데인_12,그레이트 데인_13,그레이트 데인_14,그레이트 데인_15,그레이트 데인_16,그레이트 데인_17,그레이트 데인_18,그레이트 데인_19,그레이트 데인_20
Tool,0.0,0.0,72.50558471679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,66.49488067626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,66.49488067626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzeller,0.0,0.0,55.31077575683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,98.56453704833984,98.44956970214844,95.76216888427734,98.8392562866211,99.39324951171875,99.34799194335938,90.13965606689453,99.71458435058594,99.65411376953125,99.80630493164062,96.3333740234375,0.0,98.86389923095703,97.6714859008789,63.15110778808594,59.12260055541992,84.42110443115234
Tree,0.0,0.0,0.0,0.0,0.0,62.91577911376953,0.0,0.0,55.559349060058594,0.0,0.0,0.0,58.4532585144043,78.2586898803711,0.0,0.0,0.0,0.0,0.0,0.0
Giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.98650360107422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.98650360107422,0.0,0.0,0.0,61.78866195678711,0.0,0.0,65.96984100341797,0.0,0.0,0.0,0.0
Fence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.253658294677734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.98412322998047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.98412322998047,0.0,0.0,0.0,0.0,0.0,0.0,84.96500396728516,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.98412322998047,0.0,0.0,0.0,0.0,0.0,0.0,84.96500396728516,0.0
Shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.98412322998047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.78866195678711,0.0,0.0,65.96984100341797,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.49102783203125,0.0,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.58877563476562,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.46128845214844,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.46128845214844,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.83156204223633,0.0,0.0,0.0
Dalmatian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.677040100097656,0.0,55.280860900878906
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.88906860351562,0.0
