,에어데일 테리어_1,에어데일 테리어_2,에어데일 테리어_3,에어데일 테리어_4,에어데일 테리어_5,에어데일 테리어_6,에어데일 테리어_7,에어데일 테리어_8,에어데일 테리어_9,에어데일 테리어_10,에어데일 테리어_11,에어데일 테리어_12,에어데일 테리어_13,에어데일 테리어_14,에어데일 테리어_15,에어데일 테리어_16,에어데일 테리어_17,에어데일 테리어_18,에어데일 테리어_19,에어데일 테리어_20
Snowman,71.34325408935547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,97.19768524169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bull,0.0,96.35224914550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Bulldog,0.0,78.9903564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,69.21147155761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,69.21147155761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,74.51608276367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.67456817626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,65.01880645751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airedale,0.0,0.0,0.0,98.91753387451172,98.3395767211914,99.43850708007812,99.56572723388672,99.80220031738281,56.025665283203125,99.82288360595703,0.0,0.0,96.94149017333984,99.17440032958984,94.27874755859375,95.46578216552734,94.70472717285156,98.99703216552734,98.72884368896484,99.02163696289062
Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.70320892333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.70320892333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.48637390136719,0.0,0.0,0.0,0.0,85.72733306884766,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.48637390136719,0.0,0.0,0.0,0.0,85.72733306884766,0.0,0.0,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.65850830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.77275466918945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.02336883544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
