,페키니즈_1,페키니즈_2,페키니즈_3,페키니즈_4,페키니즈_5,페키니즈_6,페키니즈_7,페키니즈_8,페키니즈_9,페키니즈_10,페키니즈_11,페키니즈_12,페키니즈_13,페키니즈_14,페키니즈_15,페키니즈_16,페키니즈_17,페키니즈_18,페키니즈_19,페키니즈_20
Snowman,0.0,0.0,0.0,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.86540985107422,69.3049087524414,0.0,94.83533477783203
Winter,0.0,0.0,0.0,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.86540985107422,69.3049087524414,0.0,94.83533477783203
Snow,0.0,0.0,0.0,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.86540985107422,69.3049087524414,0.0,94.83533477783203
White Dog,0.0,0.0,0.0,0.0,0.0,58.022769927978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.13482666015625,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,0.0,0.0,0.0,55.9917106628418,61.23329162597656,0.0,0.0,0.0,0.0,0.0,0.0,60.06349182128906,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,0.0,94.6942138671875,80.05281066894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.64329528808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.65472412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.99317932128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4731216430664,0.0,0.0,0.0,0.0,0.0,70.38291931152344,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4731216430664,0.0,0.0,0.0,0.0,0.0,70.38291931152344,0.0,0.0,0.0,0.0
Papillon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.65349197387695,0.0,0.0,0.0,0.0,0.0,56.79874038696289,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.20708465576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7049560546875,0.0,0.0,56.37192916870117,0.0,0.0,0.0,56.48024368286133,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.825931549072266,0.0,0.0,0.0,67.34086608886719,0.0,0.0,0.0,67.30500793457031
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.825931549072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.30500793457031
