,블러드 하운드_1,블러드 하운드_2,블러드 하운드_3,블러드 하운드_4,블러드 하운드_5,블러드 하운드_6,블러드 하운드_7,블러드 하운드_8,블러드 하운드_9,블러드 하운드_10,블러드 하운드_11,블러드 하운드_12,블러드 하운드_13,블러드 하운드_14,블러드 하운드_15,블러드 하운드_16,블러드 하운드_17,블러드 하운드_18,블러드 하운드_19,블러드 하운드_20
Boxer,0.0,0.0,0.0,0.0,0.0,77.38790893554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,77.38790893554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,59.76216125488281,0.0,0.0,0.0,0.0,0.0,0.0,93.40299224853516,0.0,0.0,0.0,0.0,71.19871520996094,55.423831939697266
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,57.47062301635742,0.0,56.82236099243164,0.0,74.69894409179688,58.01862716674805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.47593307495117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.429805755615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.75863647460938,0.0,59.82353210449219,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.8185920715332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.23985290527344,57.17262268066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.066917419433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.32952880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.38983917236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.35659790039062,0.0,0.0,0.0,0.0,0.0
Military Uniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6541976928711,0.0,0.0,0.0,0.0,0.0
Soldier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.55181121826172,0.0,0.0,0.0,0.0,0.0
Army,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.68031311035156,0.0,0.0,0.0,0.0,0.0
Armored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.68031311035156,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.75865936279297,0.0,0.0,0.0,0.0
Helmet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.50405502319336,0.0,0.0,0.0,0.0
Formula One,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.35408020019531,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.03479766845703,0.0,0.0
Airport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3937873840332,0.0,0.0
Airfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3937873840332,0.0,0.0
