,파라오 하운드_1,파라오 하운드_2,파라오 하운드_3,파라오 하운드_4,파라오 하운드_5,파라오 하운드_6,파라오 하운드_7,파라오 하운드_8,파라오 하운드_9,파라오 하운드_10,파라오 하운드_11,파라오 하운드_12,파라오 하운드_13,파라오 하운드_14,파라오 하운드_15,파라오 하운드_16,파라오 하운드_17,파라오 하운드_18,파라오 하운드_19,파라오 하운드_20
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,57.05080032348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.15694427490234,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,56.527610778808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.700340270996094,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.52622985839844,73.28547668457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.731197357177734,0.0
Mouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3213882446289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3213882446289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.89185333251953,79.38301086425781,70.57135772705078,0.0,67.38629150390625,0.0,0.0,0.0,0.0,97.31358337402344
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.89185333251953,79.38301086425781,70.57135772705078,0.0,67.38629150390625,0.0,0.0,0.0,0.0,97.31358337402344
Flame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.33649444580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.33649444580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonfire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.33649444580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.72754669189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barefoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.76097869873047,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5309829711914,0.0,0.0,58.276493072509766,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5309829711914,0.0,0.0,58.276493072509766,0.0,0.0
Halter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.29668045043945,0.0,0.0,0.0,0.0,0.0
Gear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.29668045043945,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.74677276611328,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.74677276611328,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.31075668334961,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.00350189208984,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.99256896972656,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.23287200927734
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.13434982299805
