,오스트레일리언 캐틀 도그_1,오스트레일리언 캐틀 도그_2,오스트레일리언 캐틀 도그_3,오스트레일리언 캐틀 도그_4,오스트레일리언 캐틀 도그_5,오스트레일리언 캐틀 도그_6,오스트레일리언 캐틀 도그_7,오스트레일리언 캐틀 도그_8,오스트레일리언 캐틀 도그_9,오스트레일리언 캐틀 도그_10,오스트레일리언 캐틀 도그_11,오스트레일리언 캐틀 도그_12,오스트레일리언 캐틀 도그_13,오스트레일리언 캐틀 도그_14,오스트레일리언 캐틀 도그_15,오스트레일리언 캐틀 도그_16,오스트레일리언 캐틀 도그_17,오스트레일리언 캐틀 도그_18,오스트레일리언 캐틀 도그_19,오스트레일리언 캐틀 도그_20
Puppy,0.0,76.35435485839844,73.15186309814453,0.0,55.12438201904297,0.0,83.5145263671875,55.51729202270508,55.441871643066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.385215759277344,0.0
Strap,0.0,60.529727935791016,0.0,78.7513656616211,0.0,65.2204360961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,84.4333267211914,58.8191032409668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chair,0.0,0.0,82.92310333251953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,82.92310333251953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,70.29336547851562,0.0,0.0,0.0,0.0,77.42913818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.89298248291016,0.0
Cushion,0.0,0.0,69.35332489013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,69.35332489013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,57.505943298339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.35881805419922,0.0,0.0,0.0,0.0,0.0,0.0
Beak,0.0,0.0,57.505943298339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brick,0.0,0.0,56.23116683959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,56.8004035949707,0.0,0.0,0.0,0.0,0.0,0.0,99.76768493652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.16692352294922,0.0
Apparel,0.0,0.0,0.0,56.8004035949707,0.0,0.0,0.0,0.0,0.0,0.0,99.76768493652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.16692352294922,0.0
Police Dog,0.0,0.0,0.0,0.0,58.68440628051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.26072311401367,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,55.28533172607422,0.0,0.0,0.0,0.0,0.0,0.0,88.51982116699219,0.0,0.0,0.0,0.0,87.199951171875,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,55.28533172607422,0.0,0.0,0.0,0.0,0.0,0.0,76.22771453857422,0.0,0.0,0.0,0.0,60.666690826416016,0.0,0.0,0.0
