,펨브록 웰시 코기_1,펨브록 웰시 코기_2,펨브록 웰시 코기_3,펨브록 웰시 코기_4,펨브록 웰시 코기_5,펨브록 웰시 코기_6,펨브록 웰시 코기_7,펨브록 웰시 코기_8,펨브록 웰시 코기_9,펨브록 웰시 코기_10,펨브록 웰시 코기_11,펨브록 웰시 코기_12,펨브록 웰시 코기_13,펨브록 웰시 코기_14,펨브록 웰시 코기_15,펨브록 웰시 코기_16,펨브록 웰시 코기_17,펨브록 웰시 코기_18,펨브록 웰시 코기_19,펨브록 웰시 코기_20
Toy,0.0,66.20591735839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frisbee,0.0,66.20591735839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,56.702392578125,0.0,0.0,60.29542922973633,0.0,0.0,95.44113159179688,0.0,99.35966491699219,94.74752807617188,92.55101776123047,56.408260345458984,0.0,90.26793670654297,0.0,85.64714050292969,99.72135162353516,99.61370849609375,91.71561431884766
Puppy,0.0,0.0,87.41148376464844,62.071075439453125,84.61719512939453,90.28683471679688,78.25951385498047,0.0,0.0,0.0,0.0,55.73957061767578,59.58507537841797,59.28102111816406,0.0,73.16683959960938,0.0,0.0,92.60782623291016,0.0
Chihuahua,0.0,0.0,0.0,0.0,71.95604705810547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.84283447265625,63.98329162597656,0.0,0.0,0.0,64.86017608642578,71.33319091796875
Apparel,0.0,0.0,0.0,0.0,63.701927185058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,63.701927185058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,55.77714920043945,0.0,0.0,0.0,58.81438064575195,0.0,0.0,0.0,0.0,0.0,0.0,84.21522521972656,56.23386001586914,0.0,0.0,0.0
Figurine,0.0,0.0,0.0,0.0,0.0,86.29695129394531,75.33226776123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,84.77837371826172,0.0,0.0,99.72119903564453,0.0,0.0,0.0,0.0,0.0,0.0,80.34532165527344,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,55.91233825683594,0.0,0.0,82.31234741210938,0.0,0.0,0.0,0.0,0.0,0.0,55.84772491455078,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,55.23705291748047,0.0,0.0,0.0,0.0,55.64997863769531,0.0,0.0,77.9171371459961,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.74211502075195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.826168060302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.10814666748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.10814666748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.542762756347656,76.25032806396484,0.0,0.0,0.0,0.0,0.0,0.0,56.18387222290039,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.64997863769531,0.0,56.7938346862793,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.64997863769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.85671997070312,0.0,0.0,0.0,56.57392120361328,0.0,0.0,0.0
Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.159263610839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kit Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.159263610839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.159263610839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.093353271484375,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.644596099853516,0.0,0.0,0.0,0.0,0.0
