,미니어처 핀셔_1,미니어처 핀셔_2,미니어처 핀셔_3,미니어처 핀셔_4,미니어처 핀셔_5,미니어처 핀셔_6,미니어처 핀셔_7,미니어처 핀셔_8,미니어처 핀셔_9,미니어처 핀셔_10,미니어처 핀셔_11,미니어처 핀셔_12,미니어처 핀셔_13,미니어처 핀셔_14,미니어처 핀셔_15,미니어처 핀셔_16,미니어처 핀셔_17,미니어처 핀셔_18,미니어처 핀셔_19,미니어처 핀셔_20
Strap,0.0,0.0,0.0,93.77928924560547,0.0,99.98438262939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouth,0.0,0.0,0.0,92.62466430664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,0.0,92.62466430664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tongue,0.0,0.0,0.0,75.44390869140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,66.55313110351562,0.0,93.90533447265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,55.57687759399414,0.0,0.0,0.0,0.0,0.0,0.0,64.93465423583984,0.0,0.0,80.98420715332031,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,55.57687759399414,0.0,0.0,0.0,0.0,0.0,0.0,64.93465423583984,0.0,0.0,80.98420715332031,0.0,0.0,0.0,0.0,0.0,0.0
Appenzeller,0.0,0.0,0.0,0.0,59.17434310913086,0.0,0.0,72.51874542236328,0.0,0.0,0.0,0.0,85.62913513183594,0.0,55.667354583740234,0.0,0.0,59.79467010498047,0.0,58.143436431884766
Terrier,0.0,0.0,0.0,0.0,57.72637939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,58.26551055908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.00459671020508,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,58.26551055908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.00459671020508,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.40718841552734,0.0,0.0,0.0,0.0,0.0,94.91216278076172,81.0512466430664,58.11335754394531,0.0,0.0,0.0,0.0
