,진돗개_1,진돗개_2,진돗개_3,진돗개_4,진돗개_5,진돗개_6,진돗개_7,진돗개_8,진돗개_9,진돗개_10,진돗개_11,진돗개_12,진돗개_13,진돗개_14,진돗개_15,진돗개_16,진돗개_17,진돗개_18,진돗개_19,진돗개_20
Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.66343688964844,0.0,0.0,0.0,68.23006439208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.303749084472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.00475311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.71192932128906,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.45556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.45556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.45556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.58015441894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.58015441894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confectionery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.75706100463867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.75706100463867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.75706100463867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.05066680908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.82691192626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.71135711669922,0.0,0.0,0.0,0.0,0.0,0.0
Diagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.79620361328125,0.0,0.0,0.0,0.0,0.0,0.0
Plot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.39990234375,0.0,0.0,0.0,0.0,0.0,0.0
Shower Faucet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.396949768066406,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.028228759765625,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.07140350341797,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.438743591308594,0.0,0.0,0.0,0.0
Screen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.081424713134766,0.0,0.0,0.0
Electronics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.081424713134766,0.0,0.0,0.0
Sweatshirt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.02385711669922
Sweater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.02385711669922
Hoodie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.02385711669922
