,노르웨지안 부훈트_1,노르웨지안 부훈트_2,노르웨지안 부훈트_3,노르웨지안 부훈트_4,노르웨지안 부훈트_5,노르웨지안 부훈트_6,노르웨지안 부훈트_7,노르웨지안 부훈트_8,노르웨지안 부훈트_9,노르웨지안 부훈트_10,노르웨지안 부훈트_11,노르웨지안 부훈트_12,노르웨지안 부훈트_13,노르웨지안 부훈트_14,노르웨지안 부훈트_15,노르웨지안 부훈트_16,노르웨지안 부훈트_17,노르웨지안 부훈트_18,노르웨지안 부훈트_19,노르웨지안 부훈트_20
Figurine,0.0,0.0,0.0,0.0,0.0,96.26949310302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,92.77567291259766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,92.77567291259766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,88.64627838134766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doodle,0.0,0.0,0.0,0.0,0.0,86.0264892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sketch,0.0,0.0,0.0,0.0,0.0,73.50153350830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,55.6524658203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,94.96526336669922,0.0,0.0,0.0,0.0,0.0,85.97805786132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,75.6052017211914,0.0,0.0,0.0,0.0,0.0,71.3853530883789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,74.52297973632812,0.0,0.0,0.0,0.0,0.0,69.61006927490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.9263916015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7684097290039,97.30979919433594
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.42251586914062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.41754150390625,0.0,93.96137237548828,87.09455108642578,87.9991455078125,0.0,0.0,0.0,0.0
Collage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.84072875976562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.69697570800781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.1796760559082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8329086303711,0.0,0.0,0.0,0.0,0.0,0.0
Plot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.72966003417969,0.0,0.0,0.0,0.0,0.0,0.0
Diagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.16804885864258,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.64347839355469,80.90290069580078,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.65691375732422,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.03640747070312,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.03640747070312,0.0,0.0,0.0,0.0,0.0
Newspaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.67036819458008,62.75333023071289,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.388648986816406,59.6449089050293,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.71043395996094,0.0,0.0,0.0
