,쿠바스_1,쿠바스_2,쿠바스_3,쿠바스_4,쿠바스_5,쿠바스_6,쿠바스_7,쿠바스_8,쿠바스_9,쿠바스_10,쿠바스_11,쿠바스_12,쿠바스_13,쿠바스_14,쿠바스_15,쿠바스_16,쿠바스_17,쿠바스_18,쿠바스_19,쿠바스_20
Figurine,0.0,0.0,0.0,0.0,0.0,0.0,56.35184097290039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.509521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.59681701660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.59681701660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.77326202392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcohol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.54286193847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.94827270507812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beer Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.94827270507812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wine Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.02417755126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.02417755126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocktail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.808467864990234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.320743560791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drinking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.97801208496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.99541473388672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.87788391113281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.3568115234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Board,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.49774169921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.39077758789062,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3327407836914,0.0,60.89047622680664,97.61936950683594,79.36209106445312,0.0,0.0,0.0,92.54582214355469,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53487396240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3149642944336,0.0,0.0,62.65666580200195,0.0,60.35539245605469,0.0,0.0,0.0,0.0
Bush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3149642944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3149642944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5717887878418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.562931060791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.42979049682617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.033634185791016,0.0,0.0,62.65666580200195,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.494354248046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.494354248046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.26213836669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.41158676147461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.56269836425781,71.69612884521484,0.0,0.0,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.35457611083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.35104370117188,0.0,0.0,0.0,0.0,0.0,0.0
Jeans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.17866516113281,0.0,0.0,0.0,0.0,0.0,0.0
Denim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.17866516113281,0.0,0.0,0.0,0.0,0.0,0.0
Interior Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.39569854736328,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.39569854736328,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.97248077392578,0.0,0.0,0.0,70.4051742553711,0.0
Lamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.64229583740234,0.0,0.0,0.0,98.63379669189453,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.58809661865234,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.71807861328125,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.07331085205078,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.07933044433594,0.0,0.0,0.0,0.0,0.0
Living Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.07933044433594,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.81185150146484,0.0,0.0,0.0,0.0,0.0
Corner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.02290344238281,0.0,0.0,0.0,0.0,0.0
Shelter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8370132446289,0.0,0.0,0.0,0.0
Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8370132446289,0.0,0.0,0.0,0.0
Countryside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8370132446289,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8370132446289,0.0,0.0,0.0,0.0
Housing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.46324920654297,0.0,0.0,0.0,0.0
House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.39099884033203,0.0,0.0,0.0,0.0
Hut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.47312927246094,0.0,0.0,0.0,0.0
Shack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.14832305908203,0.0,0.0,0.0,0.0
Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.16801452636719,0.0,0.0,0.0,0.0
Cottage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.289554595947266,0.0,0.0,0.0,0.0
Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.06806182861328,0.0,0.0,0.0,0.0
Soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.51102066040039,0.0,0.0,0.0,0.0
Ocean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.06403732299805,0.0,0.0,0.0,0.0
Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.06403732299805,0.0,0.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.06403732299805,0.0,0.0,0.0,0.0
Shoreline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.06403732299805,0.0,0.0,0.0,0.0
Sea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.06403732299805,0.0,0.0,0.0,0.0
Sand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.93705368041992,0.0,0.0,0.0,0.0
Yard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.38039779663086,0.0,0.0,0.0,0.0
Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6395263671875,0.0,0.0,0.0,0.0
Khaki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.082820892333984,0.0,0.0,0.0
Sideboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4051742553711,0.0
Table Lamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.70234680175781,0.0
