,그레이하운드_1,그레이하운드_2,그레이하운드_3,그레이하운드_4,그레이하운드_5,그레이하운드_6,그레이하운드_7,그레이하운드_8,그레이하운드_9,그레이하운드_10,그레이하운드_11,그레이하운드_12,그레이하운드_13,그레이하운드_14,그레이하운드_15,그레이하운드_16,그레이하운드_17,그레이하운드_18,그레이하운드_19,그레이하운드_20
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.09846878051758,0.0,73.47977447509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.137939453125
Sand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.09846878051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Military Uniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88483428955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Officer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.18524932861328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Captain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.34363555908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.8082275390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Symbol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.82795333862305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soldier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.10344696044922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.95416259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5514144897461,0.0,0.0,0.0,0.0,0.0,92.02723693847656,0.0,0.0,0.0,99.58074188232422
