,스코티시 디어하운드_1,스코티시 디어하운드_2,스코티시 디어하운드_3,스코티시 디어하운드_4,스코티시 디어하운드_5,스코티시 디어하운드_6,스코티시 디어하운드_7,스코티시 디어하운드_8,스코티시 디어하운드_9,스코티시 디어하운드_10,스코티시 디어하운드_11,스코티시 디어하운드_12,스코티시 디어하운드_13,스코티시 디어하운드_14,스코티시 디어하운드_15,스코티시 디어하운드_16,스코티시 디어하운드_17,스코티시 디어하운드_18,스코티시 디어하운드_19,스코티시 디어하운드_20
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.19197845458984,60.64813232421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.49959945678711,0.0
Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.27313995361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kit Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.27313995361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.73283004760742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.88945770263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.21513366699219,0.0,0.0,0.0,0.0,99.5367202758789,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.29987335205078,74.60053253173828,0.0,99.98502349853516,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.19864654541016,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.49956512451172,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.49956512451172,0.0,0.0,0.0,0.0
