,댄디 딘몬트 테리어_1,댄디 딘몬트 테리어_2,댄디 딘몬트 테리어_3,댄디 딘몬트 테리어_4,댄디 딘몬트 테리어_5,댄디 딘몬트 테리어_6,댄디 딘몬트 테리어_7,댄디 딘몬트 테리어_8,댄디 딘몬트 테리어_9,댄디 딘몬트 테리어_10,댄디 딘몬트 테리어_11,댄디 딘몬트 테리어_12,댄디 딘몬트 테리어_13,댄디 딘몬트 테리어_14,댄디 딘몬트 테리어_15,댄디 딘몬트 테리어_16,댄디 딘몬트 테리어_17,댄디 딘몬트 테리어_18,댄디 딘몬트 테리어_19,댄디 딘몬트 테리어_20
Cushion,0.0,61.35622787475586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,75.4637680053711,0.0,0.0,0.0,0.0,78.85933685302734,81.12836456298828,0.0,0.0,0.0,97.21367645263672,0.0,0.0,0.0,98.43276977539062,0.0,90.36078643798828,0.0
Grass,0.0,0.0,75.4637680053711,0.0,0.0,0.0,0.0,78.85933685302734,81.12836456298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.43276977539062,0.0,90.36078643798828,0.0
Human,0.0,0.0,0.0,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.89765167236328,0.0,0.0,0.0,81.62940216064453,0.0,0.0
Person,0.0,0.0,0.0,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.89765167236328,0.0,0.0,0.0,81.62940216064453,0.0,0.0
Word,0.0,0.0,0.0,86.65850830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,0.0,0.0,56.77275466918945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,56.02336883544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,57.83024978637695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.094242095947266,0.0,0.0,0.0,55.249755859375,56.01869583129883
Airedale,0.0,0.0,0.0,0.0,0.0,98.16107940673828,0.0,0.0,0.0,63.566070556640625,0.0,0.0,0.0,0.0,0.0,0.0,55.110164642333984,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.723628997802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.723628997802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.76347351074219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ornament,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3130874633789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5589714050293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.35511016845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christmas Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.23637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pottery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.44588088989258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.44588088989258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potted Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.44588088989258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.44588088989258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.660030364990234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.58379364013672,0.0,0.0,0.0,0.0,0.0,0.0
Veterinarian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.30125427246094,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.60242462158203,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.87377166748047,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.584651947021484,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.584651947021484,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.47012710571289,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.47012710571289,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.46638488769531,0.0,0.0
