,사모예드_1,사모예드_2,사모예드_3,사모예드_4,사모예드_5,사모예드_6,사모예드_7,사모예드_8,사모예드_9,사모예드_10,사모예드_11,사모예드_12,사모예드_13,사모예드_14,사모예드_15,사모예드_16,사모예드_17,사모예드_18,사모예드_19,사모예드_20
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.00615692138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.00615692138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.00615692138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.00615692138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.00615692138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21928405761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id Cards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.29582214355469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Document,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.29582214355469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.43631744384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.43631744384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.72544860839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.995059967041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.995059967041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.91353988647461,0.0,0.0,0.0,0.0,0.0,88.38719177246094,0.0,0.0,0.0,0.0
