,아이리시 울프 하운드_1,아이리시 울프 하운드_2,아이리시 울프 하운드_3,아이리시 울프 하운드_4,아이리시 울프 하운드_5,아이리시 울프 하운드_6,아이리시 울프 하운드_7,아이리시 울프 하운드_8,아이리시 울프 하운드_9,아이리시 울프 하운드_10,아이리시 울프 하운드_11,아이리시 울프 하운드_12,아이리시 울프 하운드_13,아이리시 울프 하운드_14,아이리시 울프 하운드_15,아이리시 울프 하운드_16,아이리시 울프 하운드_17,아이리시 울프 하운드_18,아이리시 울프 하운드_19,아이리시 울프 하운드_20
Nature,77.75471496582031,0.0,62.450592041015625,0.0,99.92028045654297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,73.92530822753906,0.0,0.0,56.76116943359375,0.0,59.92008972167969,0.0,0.0,0.0,0.0,59.000545501708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,98.786376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.00830078125,0.0,72.28760528564453,63.37438201904297,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,76.89826202392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.77735900878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,0.0,59.76179504394531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.44575500488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,96.01783752441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.95193481445312,74.77189636230469,99.66033935546875,0.0,96.80665588378906,0.0,87.12443542480469,98.26136779785156,88.26651000976562,0.0
Person,0.0,0.0,96.01783752441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.95193481445312,74.77189636230469,99.66033935546875,0.0,96.80665588378906,0.0,87.12443542480469,98.26136779785156,88.26651000976562,0.0
Grass,0.0,0.0,90.93514251708984,0.0,0.0,89.81211853027344,0.0,91.91393280029297,0.0,0.0,0.0,0.0,0.0,81.0224609375,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,90.93514251708984,0.0,0.0,89.81211853027344,0.0,91.91393280029297,0.0,0.0,0.0,0.0,0.0,81.0224609375,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,89.84839630126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
